"quantity","CT","plate_id","target"
1e+06,17.43498,"P7","NR1"
1e+06,17.35939,"P7","NR1"
1e+05,20.75354,"P7","NR1"
1e+05,21.52712,"P7","NR1"
10000,24.74622,"P7","NR1"
10000,24.83861,"P7","NR1"
1000,29.32574,"P7","NR1"
1000,29.6679,"P7","NR1"
100,32.45524,"P7","NR1"
100,31.5002,"P7","NR1"
1e+06,17.6539,"P9","NR1"
1e+06,17.40675,"P9","NR1"
1e+05,21.06132,"P9","NR1"
1e+05,21.1071,"P9","NR1"
10000,24.69078,"P9","NR1"
10000,25.53848,"P9","NR1"
1000,29.70254,"P9","NR1"
1000,29.52205,"P9","NR1"
100,34.67891,"P9","NR1"
100,32.74614,"P9","NR1"
1e+06,15.73241,"P10","MP1"
1e+06,15.97383,"P10","MP1"
1e+05,19.55501,"P10","MP1"
1e+05,19.52483,"P10","MP1"
10000,22.83496,"P10","MP1"
10000,22.82182,"P10","MP1"
1000,26.97229,"P10","MP1"
1000,26.70618,"P10","MP1"
100,30.47897,"P10","MP1"
100,31.34309,"P10","MP1"
1e+06,17.80416,"P11","NR1"
1e+06,17.87673,"P11","NR1"
1e+05,21.92276,"P11","NR1"
1e+05,21.60994,"P11","NR1"
10000,25.72698,"P11","NR1"
10000,25.50599,"P11","NR1"
1000,30.9117,"P11","NR1"
1000,31.50383,"P11","NR1"
100,36.70626,"P11","NR1"
1e+06,15.84509,"P12","MP1"
1e+06,15.96782,"P12","MP1"
1e+05,19.56156,"P12","MP1"
1e+05,19.28647,"P12","MP1"
10000,23.32565,"P12","MP1"
10000,24.22803,"P12","MP1"
1000,27.51305,"P12","MP1"
1000,26.95498,"P12","MP1"
100,33.50918,"P12","MP1"
100,33.63924,"P12","MP1"
1e+06,18.70336,"P13","NR1"
1e+06,19.88444,"P13","NR1"
1e+05,22.20271,"P13","NR1"
1e+05,22.63648,"P13","NR1"
10000,26.55196,"P13","NR1"
10000,26.40874,"P13","NR1"
1000,30.22952,"P13","NR1"
1000,29.83512,"P13","NR1"
100,34.62231,"P13","NR1"
100,33.44851,"P13","NR1"
1e+06,16.18666,"P14","MP1"
1e+06,15.9559,"P14","MP1"
1e+05,19.85314,"P14","MP1"
1e+05,19.768,"P14","MP1"
10000,23.37416,"P14","MP1"
10000,23.48455,"P14","MP1"
1000,27.1827,"P14","MP1"
1000,27.2681,"P14","MP1"
100,31.65126,"P14","MP1"
100,31.4073,"P14","MP1"
1e+06,18.36102,"P25","NR1"
1e+06,18.37331,"P25","NR1"
1e+05,21.90203,"P25","NR1"
1e+05,21.76524,"P25","NR1"
10000,25.57551,"P25","NR1"
10000,25.12188,"P25","NR1"
1000,30.45301,"P25","NR1"
1000,29.14021,"P25","NR1"
100,33.2622,"P25","NR1"
100,34.98458,"P25","NR1"
1e+06,15.80283,"P26","MP1"
1e+06,15.8076,"P26","MP1"
1e+05,19.40208,"P26","MP1"
1e+05,19.01033,"P26","MP1"
10000,23.6801,"P26","MP1"
10000,23.51286,"P26","MP1"
1000,26.70748,"P26","MP1"
1000,27.17424,"P26","MP1"
100,31.14378,"P26","MP1"
100,30.25147,"P26","MP1"
1e+06,18.24924,"P27","NR1"
1e+06,18.02697,"P27","NR1"
1e+05,21.92115,"P27","NR1"
1e+05,21.6524,"P27","NR1"
10000,28.00588,"P27","NR1"
10000,25.58136,"P27","NR1"
1000,29.82314,"P27","NR1"
1000,29.64006,"P27","NR1"
100,33.42258,"P27","NR1"
100,33.54191,"P27","NR1"
1e+06,15.7271,"P28","MP1"
1e+06,16.6757,"P28","MP1"
1e+05,19.78981,"P28","MP1"
1e+05,19.25483,"P28","MP1"
10000,23.07911,"P28","MP1"
10000,22.99726,"P28","MP1"
1000,26.48104,"P28","MP1"
1000,26.41809,"P28","MP1"
100,30.2495,"P28","MP1"
100,30.00444,"P28","MP1"
1e+06,15.92623,"P30","MP1"
1e+06,15.72865,"P30","MP1"
1e+05,20.28496,"P30","MP1"
1e+05,19.58594,"P30","MP1"
10000,23.54358,"P30","MP1"
10000,23.27236,"P30","MP1"
1000,26.96107,"P30","MP1"
1000,26.90302,"P30","MP1"
100,31.17217,"P30","MP1"
100,31.11996,"P30","MP1"
5e+06,13.22167,"P46","ORF"
5e+06,13.1972,"P46","ORF"
5e+05,16.28481,"P46","ORF"
5e+05,16.23348,"P46","ORF"
50000,19.62321,"P46","ORF"
50000,19.77755,"P46","ORF"
5000,22.88549,"P46","ORF"
5000,22.8864,"P46","ORF"
500,26.42242,"P46","ORF"
500,26.50112,"P46","ORF"
50,29.86129,"P46","ORF"
50,29.70291,"P46","ORF"
5e+06,16.18802,"P47","ORF"
5e+06,16.15079,"P47","ORF"
5e+05,19.49835,"P47","ORF"
5e+05,19.47618,"P47","ORF"
50000,22.94507,"P47","ORF"
50000,22.95482,"P47","ORF"
5000,26.61184,"P47","ORF"
5000,26.50698,"P47","ORF"
500,29.95678,"P47","ORF"
500,29.86069,"P47","ORF"
50,33.32975,"P47","ORF"
50,33.92002,"P47","ORF"
5e+06,13.14853,"P51","ORF"
5e+06,13.01143,"P51","ORF"
5e+05,16.38319,"P51","ORF"
5e+05,16.31429,"P51","ORF"
50000,19.99347,"P51","ORF"
50000,19.93933,"P51","ORF"
5000,23.55929,"P51","ORF"
5000,23.61164,"P51","ORF"
500,26.75351,"P51","ORF"
500,26.95973,"P51","ORF"
50,30.09073,"P51","ORF"
50,30.37622,"P51","ORF"
5e+06,13.12667,"P52","ORF"
5e+06,12.98728,"P52","ORF"
5e+05,16.32207,"P52","ORF"
5e+05,16.37619,"P52","ORF"
50000,19.53953,"P52","ORF"
50000,19.68708,"P52","ORF"
5000,22.925,"P52","ORF"
5000,22.84269,"P52","ORF"
500,26.20825,"P52","ORF"
500,26.48559,"P52","ORF"
50,29.87445,"P52","ORF"
50,29.27894,"P52","ORF"
5e+06,13.16911,"P53","ORF"
5e+06,13.04299,"P53","ORF"
5e+05,16.45811,"P53","ORF"
5e+05,16.38716,"P53","ORF"
50000,20.43975,"P53","ORF"
50000,20.57338,"P53","ORF"
5000,23.6614,"P53","ORF"
5000,23.76388,"P53","ORF"
500,27.41036,"P53","ORF"
500,27.35801,"P53","ORF"
50,30.44079,"P53","ORF"
50,30.19355,"P53","ORF"
5e+06,13.23857,"P54","ORF"
5e+06,13.14104,"P54","ORF"
5e+05,16.41731,"P54","ORF"
5e+05,16.17348,"P54","ORF"
50000,19.7424,"P54","ORF"
50000,19.74338,"P54","ORF"
5000,23.15882,"P54","ORF"
5000,22.99537,"P54","ORF"
500,26.5009,"P54","ORF"
500,26.27588,"P54","ORF"
50,29.55265,"P54","ORF"
50,29.81017,"P54","ORF"
5e+06,13.27855,"P55","ORF"
5e+06,13.3923,"P55","ORF"
5e+05,16.52146,"P55","ORF"
5e+05,16.45447,"P55","ORF"
50000,19.76474,"P55","ORF"
50000,19.99632,"P55","ORF"
5000,23.22056,"P55","ORF"
5000,23.67007,"P55","ORF"
500,26.73962,"P55","ORF"
500,26.86324,"P55","ORF"
50,29.79511,"P55","ORF"
50,29.9207,"P55","ORF"
5e+06,13.2259,"P56","ORF"
5e+06,13.25949,"P56","ORF"
5e+05,16.70791,"P56","ORF"
5e+05,16.56079,"P56","ORF"
50000,20.35479,"P56","ORF"
50000,20.51334,"P56","ORF"
5000,23.85599,"P56","ORF"
5000,23.92893,"P56","ORF"
500,26.79174,"P56","ORF"
500,26.84878,"P56","ORF"
50,30.58452,"P56","ORF"
50,30.74082,"P56","ORF"
5e+06,12.93147,"P58","ORF"
5e+06,12.89547,"P58","ORF"
5e+05,16.18515,"P58","ORF"
5e+05,16.16364,"P58","ORF"
50000,19.64791,"P58","ORF"
50000,19.60893,"P58","ORF"
5000,22.95786,"P58","ORF"
5000,22.94839,"P58","ORF"
500,26.30112,"P58","ORF"
500,26.24936,"P58","ORF"
50,29.35025,"P58","ORF"
50,29.83118,"P58","ORF"
